Generator,ModelName,PercentageOfOldTsKept,TSSize,TSTime,Strength,Ordering,
ACTS,BOOLC_0,0,10,1962.0,2,,
PICT w SEEDS,BOOLC_0,0,0,-1.0,3,,
PICT,BOOLC_0,100,0,-1.0,3,,
ACTS w SEEDS,BOOLC_0,0,22,16738.0,3,,
ACTS,BOOLC_0,100,22,15995.0,3,,
pMEDICI+,BOOLC_0,0,26,868.0,3,AS_DECLARED,
pMEDICI,BOOLC_0,100,25,315.0,3,AS_DECLARED,
pMEDICI+,BOOLC_0,0,26,293.0,3,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_0,100,28,322.0,3,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_0,0,25,279.0,3,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_0,100,24,295.0,3,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_0,0,23,268.0,3,RANDOM,
pMEDICI,BOOLC_0,100,24,301.0,3,RANDOM,
ACTS,BOOLC_0,0,10,804.0,2,,
PICT w SEEDS,BOOLC_0,0,0,-1.0,3,,
PICT,BOOLC_0,100,0,-1.0,3,,
ACTS w SEEDS,BOOLC_0,0,22,15520.0,3,,
ACTS,BOOLC_0,100,22,15318.0,3,,
pMEDICI+,BOOLC_0,0,26,294.0,3,AS_DECLARED,
pMEDICI,BOOLC_0,100,28,294.0,3,AS_DECLARED,
pMEDICI+,BOOLC_0,0,28,290.0,3,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_0,100,25,269.0,3,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_0,0,24,249.0,3,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_0,100,24,281.0,3,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_0,0,25,227.0,3,RANDOM,
pMEDICI,BOOLC_0,100,25,250.0,3,RANDOM,
ACTS,BOOLC_0,0,10,764.0,2,,
PICT w SEEDS,BOOLC_0,0,0,-1.0,3,,
PICT,BOOLC_0,100,0,-1.0,3,,
ACTS w SEEDS,BOOLC_0,0,22,15380.0,3,,
ACTS,BOOLC_0,100,22,15335.0,3,,
pMEDICI+,BOOLC_0,0,27,271.0,3,AS_DECLARED,
pMEDICI,BOOLC_0,100,25,254.0,3,AS_DECLARED,
pMEDICI+,BOOLC_0,0,24,255.0,3,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_0,100,24,259.0,3,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_0,0,25,264.0,3,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_0,100,27,266.0,3,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_0,0,25,261.0,3,RANDOM,
pMEDICI,BOOLC_0,100,26,277.0,3,RANDOM,
ACTS,BOOLC_0,0,10,767.0,2,,
PICT w SEEDS,BOOLC_0,0,0,-1.0,3,,
PICT,BOOLC_0,100,0,-1.0,3,,
ACTS w SEEDS,BOOLC_0,0,22,15399.0,3,,
ACTS,BOOLC_0,100,22,15273.0,3,,
pMEDICI+,BOOLC_0,0,24,261.0,3,AS_DECLARED,
pMEDICI,BOOLC_0,100,22,283.0,3,AS_DECLARED,
pMEDICI+,BOOLC_0,0,26,258.0,3,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_0,100,25,292.0,3,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_0,0,26,265.0,3,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_0,100,28,320.0,3,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_0,0,26,218.0,3,RANDOM,
pMEDICI,BOOLC_0,100,25,263.0,3,RANDOM,
ACTS,BOOLC_0,0,10,763.0,2,,
PICT w SEEDS,BOOLC_0,0,0,-1.0,3,,
PICT,BOOLC_0,100,0,-1.0,3,,
ACTS w SEEDS,BOOLC_0,0,22,15426.0,3,,
ACTS,BOOLC_0,100,22,15388.0,3,,
pMEDICI+,BOOLC_0,0,25,254.0,3,AS_DECLARED,
pMEDICI,BOOLC_0,100,26,289.0,3,AS_DECLARED,
pMEDICI+,BOOLC_0,0,26,259.0,3,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_0,100,26,260.0,3,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_0,0,26,273.0,3,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_0,100,28,279.0,3,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_0,0,25,204.0,3,RANDOM,
pMEDICI,BOOLC_0,100,24,208.0,3,RANDOM,
ACTS,BOOLC_1,0,12,21.0,2,,
PICT w SEEDS,BOOLC_1,0,30,49.0,3,,
PICT,BOOLC_1,100,30,46.0,3,,
ACTS w SEEDS,BOOLC_1,0,29,37.0,3,,
ACTS,BOOLC_1,100,29,38.0,3,,
pMEDICI+,BOOLC_1,0,34,22.0,3,AS_DECLARED,
pMEDICI,BOOLC_1,100,31,32.0,3,AS_DECLARED,
pMEDICI+,BOOLC_1,0,33,19.0,3,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_1,100,32,34.0,3,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_1,0,33,20.0,3,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_1,100,33,36.0,3,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_1,0,35,22.0,3,RANDOM,
pMEDICI,BOOLC_1,100,35,33.0,3,RANDOM,
ACTS,BOOLC_1,0,12,19.0,2,,
PICT w SEEDS,BOOLC_1,0,30,41.0,3,,
PICT,BOOLC_1,100,30,40.0,3,,
ACTS w SEEDS,BOOLC_1,0,29,32.0,3,,
ACTS,BOOLC_1,100,29,32.0,3,,
pMEDICI+,BOOLC_1,0,35,19.0,3,AS_DECLARED,
pMEDICI,BOOLC_1,100,32,33.0,3,AS_DECLARED,
pMEDICI+,BOOLC_1,0,32,20.0,3,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_1,100,30,33.0,3,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_1,0,32,21.0,3,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_1,100,35,35.0,3,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_1,0,33,22.0,3,RANDOM,
pMEDICI,BOOLC_1,100,31,39.0,3,RANDOM,
ACTS,BOOLC_1,0,12,14.0,2,,
PICT w SEEDS,BOOLC_1,0,30,36.0,3,,
PICT,BOOLC_1,100,30,39.0,3,,
ACTS w SEEDS,BOOLC_1,0,29,37.0,3,,
ACTS,BOOLC_1,100,29,33.0,3,,
pMEDICI+,BOOLC_1,0,32,18.0,3,AS_DECLARED,
pMEDICI,BOOLC_1,100,31,35.0,3,AS_DECLARED,
pMEDICI+,BOOLC_1,0,33,21.0,3,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_1,100,34,37.0,3,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_1,0,35,21.0,3,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_1,100,33,34.0,3,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_1,0,36,22.0,3,RANDOM,
pMEDICI,BOOLC_1,100,33,34.0,3,RANDOM,
ACTS,BOOLC_1,0,12,14.0,2,,
PICT w SEEDS,BOOLC_1,0,30,35.0,3,,
PICT,BOOLC_1,100,30,39.0,3,,
ACTS w SEEDS,BOOLC_1,0,29,39.0,3,,
ACTS,BOOLC_1,100,29,33.0,3,,
pMEDICI+,BOOLC_1,0,32,20.0,3,AS_DECLARED,
pMEDICI,BOOLC_1,100,32,33.0,3,AS_DECLARED,
pMEDICI+,BOOLC_1,0,32,20.0,3,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_1,100,31,33.0,3,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_1,0,33,19.0,3,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_1,100,32,34.0,3,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_1,0,33,19.0,3,RANDOM,
pMEDICI,BOOLC_1,100,34,37.0,3,RANDOM,
ACTS,BOOLC_1,0,12,15.0,2,,
PICT w SEEDS,BOOLC_1,0,30,39.0,3,,
PICT,BOOLC_1,100,30,41.0,3,,
ACTS w SEEDS,BOOLC_1,0,29,33.0,3,,
ACTS,BOOLC_1,100,29,38.0,3,,
pMEDICI+,BOOLC_1,0,33,19.0,3,AS_DECLARED,
pMEDICI,BOOLC_1,100,33,33.0,3,AS_DECLARED,
pMEDICI+,BOOLC_1,0,33,20.0,3,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_1,100,32,35.0,3,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_1,0,34,21.0,3,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_1,100,33,35.0,3,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_1,0,34,21.0,3,RANDOM,
pMEDICI,BOOLC_1,100,35,39.0,3,RANDOM,
ACTS,BOOLC_2,0,8,187.0,2,,
PICT w SEEDS,BOOLC_2,0,25,159.0,3,,
PICT,BOOLC_2,100,25,257.0,3,,
ACTS w SEEDS,BOOLC_2,0,26,1936.0,3,,
ACTS,BOOLC_2,100,26,1889.0,3,,
pMEDICI+,BOOLC_2,0,25,52.0,3,AS_DECLARED,
pMEDICI,BOOLC_2,100,29,69.0,3,AS_DECLARED,
pMEDICI+,BOOLC_2,0,26,54.0,3,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_2,100,31,75.0,3,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_2,0,26,59.0,3,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_2,100,29,65.0,3,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_2,0,25,47.0,3,RANDOM,
pMEDICI,BOOLC_2,100,27,55.0,3,RANDOM,
ACTS,BOOLC_2,0,8,186.0,2,,
PICT w SEEDS,BOOLC_2,0,25,240.0,3,,
PICT,BOOLC_2,100,25,155.0,3,,
ACTS w SEEDS,BOOLC_2,0,26,1877.0,3,,
ACTS,BOOLC_2,100,26,1887.0,3,,
pMEDICI+,BOOLC_2,0,27,52.0,3,AS_DECLARED,
pMEDICI,BOOLC_2,100,28,63.0,3,AS_DECLARED,
pMEDICI+,BOOLC_2,0,24,52.0,3,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_2,100,30,72.0,3,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_2,0,27,56.0,3,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_2,100,28,63.0,3,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_2,0,28,56.0,3,RANDOM,
pMEDICI,BOOLC_2,100,29,63.0,3,RANDOM,
ACTS,BOOLC_2,0,8,188.0,2,,
PICT w SEEDS,BOOLC_2,0,25,170.0,3,,
PICT,BOOLC_2,100,25,161.0,3,,
ACTS w SEEDS,BOOLC_2,0,26,1864.0,3,,
ACTS,BOOLC_2,100,26,1889.0,3,,
pMEDICI+,BOOLC_2,0,28,54.0,3,AS_DECLARED,
pMEDICI,BOOLC_2,100,30,70.0,3,AS_DECLARED,
pMEDICI+,BOOLC_2,0,28,53.0,3,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_2,100,25,59.0,3,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_2,0,28,52.0,3,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_2,100,25,57.0,3,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_2,0,28,44.0,3,RANDOM,
pMEDICI,BOOLC_2,100,28,63.0,3,RANDOM,
ACTS,BOOLC_2,0,8,185.0,2,,
PICT w SEEDS,BOOLC_2,0,25,159.0,3,,
PICT,BOOLC_2,100,25,160.0,3,,
ACTS w SEEDS,BOOLC_2,0,26,1884.0,3,,
ACTS,BOOLC_2,100,26,1898.0,3,,
pMEDICI+,BOOLC_2,0,25,57.0,3,AS_DECLARED,
pMEDICI,BOOLC_2,100,28,65.0,3,AS_DECLARED,
pMEDICI+,BOOLC_2,0,25,48.0,3,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_2,100,27,66.0,3,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_2,0,29,55.0,3,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_2,100,29,70.0,3,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_2,0,28,54.0,3,RANDOM,
pMEDICI,BOOLC_2,100,27,95.0,3,RANDOM,
ACTS,BOOLC_2,0,8,188.0,2,,
PICT w SEEDS,BOOLC_2,0,25,163.0,3,,
PICT,BOOLC_2,100,25,157.0,3,,
ACTS w SEEDS,BOOLC_2,0,26,1865.0,3,,
ACTS,BOOLC_2,100,26,1879.0,3,,
pMEDICI+,BOOLC_2,0,25,54.0,3,AS_DECLARED,
pMEDICI,BOOLC_2,100,28,66.0,3,AS_DECLARED,
pMEDICI+,BOOLC_2,0,26,49.0,3,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_2,100,30,75.0,3,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_2,0,27,51.0,3,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_2,100,27,65.0,3,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_2,0,27,58.0,3,RANDOM,
